Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0028950,2019-12-04,2022-10-22,"Audio Commentary by Film Historian Peter Cowie Rare Theatrical Trailer in which Jean Renoir discusses both Grand Illusion and his personal war experiences Archival Radio Presentation: Rainer and Erich von Stroheim accept Grand Illusion's Best Foreign Films honors at the 1938 New York Film Critics Awards ","The Grand Illusion","La grande illusion",https://www.imdb.com/title/tt0028950/,Movie,8.1,113,1937,"Drama, War",40317,1938-09-12,"Jean Renoir",,
2,tt0047478,2019-12-04,2022-10-22,"Audio Commentary by Japanese film expert Michael Jeck Audio Commentary by film scholars David Desser, Joan Mellen, Stephen Prince, Tony Rayns, and Donald Ritchie Original U.S. Theatrical Trailer 50-minute documentary on the making of Seven Samurai, created as part of the Toho Masterworks  series Akira Kurosawa: It Is Wonderful to Create My Life in Cinema, a 2-hour video conversation from 1993 between Directors Akira Kurosawa and Nagisa Oshima Seven Samurai: Origins and Influences, a documentary looking at the samurai traditions and films that helped shape Kurosawa's masterpiece","Seven Samurai","Shichinin no samurai",https://www.imdb.com/title/tt0047478/,Movie,8.6,207,1954,"Action, Drama",388389,1956-11-19,"Akira Kurosawa",,
3,tt0030341,2019-12-04,2022-10-22,"Audio Commentary by film historian Bruce Eder Crook's Tour, a 1941 feature-length adventure film starring Basil Radford and Naunton Wayne as Charters and Caldicott, their beloved characters from The Lady Vanishes Excerpts from Francois Truffaut's legendary 1962 audio interview with Alfred Hitchcock Mystery Train, a video essay about Hitchcock and The Lady Vanishes by Hitchcock scholar Leonard Leff Stills gallery of behind-the-scenes photos and promotional art ","The Lady Vanishes","The Lady Vanishes",https://www.imdb.com/title/tt0030341/,Movie,7.7,96,1938,"Crime, Drama, Mystery, Thriller",59817,1938-11-01,"Alfred Hitchcock",,
4,tt0071129,2019-12-04,2022-10-22,"Audio Commentary by film scholars Peter Brunette and Frank Burke American release trailer Deleted scene Fellini's Homecoming, a 45 minute documentary on the complicated relationship between the celebrated director, his hometown, and his past Interview with star Magali Noel Fellini's drawings of characters in the film Felliniana, a presentation of ephemera devoted to Amarcord,  from the collection of Don Young Archival audio interviews of Fellini and his friends and family, by critic Gideon Bachmann","Amarcord","Amarcord",https://www.imdb.com/title/tt0071129/,Movie,7.8,123,1973,"Comedy, Drama",50002,1974-09-19,"Federico Fellini",,
5,tt0053198,2019-12-04,2022-10-22,"Audio Commentary by film scholar Brian Stonehill Audio Commentary by co-screenwriter Marcel Moussy and François Truffaut's lifelong friend Robert Lachenay Theatrical trailers Rare audition footage of Jean-Pierre Léaud, Patrick Auffay, and Richard Kanayan Newsreel footage from the film's showing at Cannes Excerpt from a 1965 interview with Truffaut in which he discusses his youth, his critical writings, and the origins of the character Antoine Doinel Excerpt from a 1960 interview with Truffaut about the global reception of The 400 Blows and his own critical view of the film ","The 400 Blows","Les quatre cents coups",https://www.imdb.com/title/tt0053198/,Movie,8.0,99,1959,"Crime, Drama",132032,1959-11-16,"François Truffaut",,
6,tt0038348,2019-12-04,2022-10-22,"Audio Commentary by critic Arthur Knight Audio Commentary by writer and cultural historian Sir Christopher Frayling A documentary on the movie and the fable The original fable translated into English Philip Glass' opera La Belle et la Bete, as an alternate soundtrack Screening at the Majestic, a 1995 documentary featuring interviews with cast and crew Interview with cinematographer Henri Alekan Rare behind-the-scenes photos and publicity stills Original trailer, directed and narrated by Jean Cocteau and the 1995 restoration trailer","Beauty and the Beast","La Belle et la Bête",https://www.imdb.com/title/tt0038348/,Movie,7.9,93,1946,"Drama, Fantasy, Romance",29215,1947-12-23,"Jean Cocteau, René Clément",,
7,tt0051994,2019-12-04,2022-10-22,"Audio Commentary by Don Lynch and Ken Marshall, author and illustrator of Titanic: An Illustrated History The Making of A Night to Remember (1993), a 60 minute documentary featuring producer William MacQuitty's rare behind-the-scenes footage Archival interview with Titanic survivor Eva Hart En natt att minnas (1962), a half-hour Swedish documentary featuring interviews with Titanic survivors The Iceberg That Sank the Titanic (2006), a 60 minute BBC documentary Trailer","A Night to Remember","A Night to Remember",https://www.imdb.com/title/tt0051994/,Movie,7.9,123,1958,"Drama, History",18583,1958-12-16,"Roy Ward Baker",,
8,tt0097202,2019-12-04,2022-10-22,"Audio Commentary by John Woo and production executive Terence Chang Deleted Scenes Theatrical trailer","The Killer","Dip huet seung hung",https://www.imdb.com/title/tt0097202/,Movie,7.7,111,1989,"Action, Crime, Drama, Thriller",53300,1990-09,"John Woo",,
9,tt0104684,2019-12-04,2022-10-22,"Audio Commentary by John Woo, producer Terence Chang, filmmaker Roger Avary, and critic Dave Kehr Trailers for eleven of Woo's Hong Kong films A student film by Woo Guide to Hong Kong crime films","Hard Boiled","Lat sau san taam",https://www.imdb.com/title/tt0104684/,Movie,7.7,128,1992,"Action, Crime, Thriller",56453,2025-06-24,"John Woo",,
10,tt0067959,2019-12-04,2022-10-22,"Audio Commentary by Nicolas Roeg and Jenny Agutter Original, unedited director's cut Long and short theatrical trailers Video interviews with Agutter and actor Luc Roeg Gulpilil--One Red Blood (2002), an hour-long documentary on the life and career of actor David Gulpilil","Walkabout","Walkabout",https://www.imdb.com/title/tt0067959/,Movie,7.6,100,1971,"Adventure, Drama",28819,1971-07-01,"Nicolas Roeg",,
11,tt0050976,2019-12-04,2022-10-22,"Audio Commentary by film historian Peter Cowie Theatrical trailer with optional english subtitles An annotated, illustrated Bergman filmography, featuring excerpts from Wild Strawberries and The Magician with commentary Introduction by Ingmar Bergman, recorded in 2003 Bergman Island (2006), an 83-minute documentary on Bergman by Marie Nyerod, featuring in-depth and revealing interviews with the director Archival audio interview with Max von Sydow A 1989 tribute to Bergman by filmmaker Woody Allen Bergman 101, a selected video filmography tracing Bergman's career, narrated by Cowie","The Seventh Seal","Det sjunde inseglet",https://www.imdb.com/title/tt0050976/,Movie,8.1,96,1957,"Drama, Fantasy",210377,1958-10-13,"Ingmar Bergman",,
12,tt0088258,2019-12-04,2022-10-22,"Audio Commentary by Christopher Guest, Michael McKean, and Harry Shearer Audio Commentary by Rob Reiner, producer Karen Murphy, and editors Robert Leighton and Kent Beyda Original industry and theatrical trailers 20 minute demo reel, Spinal Tap: The Final Tour Promotional shorts: Heavy Metal Memories and Hell Hole The Cutting Room Floor: More than one hour of deleted scenes, abandoned subplots, and alternate takes","This Is Spinal Tap","This Is Spinal Tap",https://www.imdb.com/title/tt0088258/,Movie,7.9,82,1984,"Comedy, Music",152663,1984-03-02,"Rob Reiner",,
13,tt0102926,2019-12-04,2022-10-22,"Audio Commentary by director Jonathan Demme, stars Jodie Foster and Anthony Hopkins,  screenwriter Ted Tally and FBI agent John Douglas Seven deleted scenes Film-to-storyboard comparison and storyboards FBI crime classification manual Voices of Death: word-for-word statements of convicted serial killers New interview with critic Maitland McDonagh Four documentaries featuring hours of interviews with cast and crew Behind the scenes featurette Trailer","The Silence of the Lambs","The Silence of the Lambs",https://www.imdb.com/title/tt0102926/,Movie,8.6,118,1991,"Crime, Drama, Horror, Thriller",1650564,1991-02-14,"Jonathan Demme",,
14,tt0047444,2019-12-05,2022-10-22,"New interviews with translator and historian William Scott Wilson about the real-life Musashi Miyamoto, the inspiration for the hero of the films On Musashi Miyamoto Part 1 Trailers","Samurai I: Musashi Miyamoto","Miyamoto Musashi",https://www.imdb.com/title/tt0047444/,Movie,7.4,93,1954,"Action, Adventure, Biography, Drama, History, Romance",10001,1955-11-18,"Hiroshi Inagaki",,
15,tt0048579,2019-12-05,2022-10-22,"New interviews with translator and historian William Scott Wilson about the real-life Musashi Miyamoto, the inspiration for the hero of the films On Musashi Miyamoto Part 2 Trailer","Samurai II: Duel at Ichijoji Temple","Zoku Miyamoto Musashi: Ichijô-ji no kettô",https://www.imdb.com/title/tt0048579/,Movie,7.3,104,1955,"Action, Adventure, Biography, Drama, History",7303,1955-07-12,"Hiroshi Inagaki",,
16,tt0049710,2019-12-05,2022-10-22,"New interviews with translator and historian William Scott Wilson about the real-life Musashi Miyamoto, the inspiration for the hero of the films On Musashi Miyamoto Part 3 Trailer","Samurai III: Duel at Ganryu Island","Miyamoto Musashi kanketsu-hen: Kettô Ganryû-jima",https://www.imdb.com/title/tt0049710/,Movie,7.5,105,1956,"Action, Adventure, Biography, Drama, History, Romance",7030,1967-11,"Hiroshi Inagaki",,
17,tt0073650,2019-12-05,2022-10-22,"Saló: Yesterday and Today, a 33 minute documentary featuring interviews with director Pier Paolo Pasolini, actor-filmmaker Jean-Claude Biette, and Pasolini friend Nineto Davoli Fade to Black, a 23 minute documentary featuring directors Bernardo Bertolucci, Catherine Breillat, and John Maybury, as well as scholar David Forgacs The End of Saló, a 40 minute documentary about the film's production Video interviews with set designer Dante Feretti and director and film scholar Jean-Pierre Gorin Theatrical Trailer","Salò, or the 120 Days of Sodom","Salò o le 120 giornate di Sodoma",https://www.imdb.com/title/tt0073650/,Movie,5.8,117,1975,"Drama",70112,1976-01-10,"Pier Paolo Pasolini",,
18,tt0058390,2019-12-05,2022-10-22,"New video interview with star Constance Towers by film historian and filmmaker Charles Dennis Excerpts from a 1983 episode of The South Bank Show dedicated to director Samuel Fuller Interview with Samuel Fuller from a 1967 episode of the French television series Cinéastes de notre temps Interview with Fuller from a 1987 episode of the French television series Cinéma cinémas Original theatrical trailer","The Naked Kiss","The Naked Kiss",https://www.imdb.com/title/tt0058390/,Movie,7.2,90,1964,"Crime, Drama",9297,1964-07-29,"Samuel Fuller",,
19,tt0057495,2019-12-05,2022-10-22,"New video interview with Constance Towers by film historian and filmmaker Charles Dennis The Typewriter, the Rifle and the Movie Camera, Adam Simon's 1996 documentary on director Samuel Fuller Original theatrical trailer","Shock Corridor","Shock Corridor",https://www.imdb.com/title/tt0057495/,Movie,7.3,101,1963,"Drama, Mystery, Thriller",13655,1963-09-25,"Samuel Fuller",,
20,tt0091954,2019-12-05,2022-10-22,"Audio Commentary by writer 'Abbe Wool,' actors Gary Oldman and Chloe Webb, cultural historian Greil Marcus, filmmakers Julien Temple and Lech Kowalski, and musician Elliot Kidd Audio Commentary by co-writer, director Alex Cox and actor Andrew Schofield England's Glory, a 1987 documentary about the making of Sid and Nancy The infamous 1976 Bill Grundy interview with the Sex Pistols A rare telephone interview with Sid Vicious Interviews with Sid and Nancy from the 1980 documentary D.O.A.: A Right of Passage Archival interviews and footage 2016 interview with Alex Cox The London Weekend Show - November 1976 Excerpt from 2016's Sad Vacation Trailer","Sid and Nancy","Sid and Nancy",https://www.imdb.com/title/tt0091954/,Movie,7.0,112,1986,"Biography, Drama, Music, Romance",36143,1986-11-07,"Alex Cox",,
21,tt0094964,2019-12-05,2022-10-22,"Audio Commentary by director David Cronenberg, actor Jeremy Irons, editor Ron Sanders, production designer Carol Spier and cinematographer Peter Suchitzky The original designs of the opening title sequence Mathematics in Metal  and Instruments for Operating on Mutant Women: A still gallery of drawings and photographs of the sculptures and medical instruments designed for the film Twinning effect/motion control footage The electronic press kit, including a trailer and a featurette","Dead Ringers","Dead Ringers",https://www.imdb.com/title/tt0094964/,Movie,7.2,116,1988,"Drama, Horror, Thriller",56965,1988-09-23,"David Cronenberg",,
22,tt0048673,2019-12-05,2022-10-22,"Original theatrical trailer","Summertime","Summertime",https://www.imdb.com/title/tt0048673/,Movie,7.1,100,1955,"Comedy, Drama, Romance",10853,1955-11-07,"David Lean",,
23,tt0093870,2019-12-05,2022-10-22,"The unrated director's cut, including excessively violent shots cut from the theatrical release to avoid an X rating Audio Commentary by director Paul Verhoeven, co-writer Edward Neumeier, executive producer Jon Davison, and RoboCop expert Paul M Sammon Film-to-storyboard comparison Storyboards Theatrical and teaser trailers","RoboCop","RoboCop",https://www.imdb.com/title/tt0093870/,Movie,7.6,102,1987,"Action, Crime, Sci-Fi, Thriller",299072,1987-07-17,"Paul Verhoeven",,
24,tt0057565,2019-12-05,2022-10-22,"Audio Commentary by Akira Kurosawa scholar Stephen Prince A 37 minute documentary on the making of High and Low, created as part of the Toho Masterworks series Akira Kurosawa: It Is Wonderful to Create Rare interview with actor Toshiro Mifune from 1984 Interview with actor Tsutomu Yamazaki Theatrical trailers from Japan and the U.S.","High and Low","Tengoku to jigoku",https://www.imdb.com/title/tt0057565/,Movie,8.4,143,1963,"Crime, Drama, Mystery, Thriller",62065,1963-11-26,"Akira Kurosawa",,
25,tt0058898,2019-12-05,2019-12-05,,"Alphaville","Alphaville: Une étrange aventure de Lemmy Caution",https://www.imdb.com/title/tt0058898/,Movie,7.0,99,1965,"Comedy, Drama, Mystery, Sci-Fi, Thriller",29242,1965-05-05,"Jean-Luc Godard",,
26,tt0081070,2019-12-05,2022-10-22,"The original British and American theatrical trailers","The Long Good Friday","The Long Good Friday",https://www.imdb.com/title/tt0081070/,Movie,7.5,114,1980,"Crime, Drama, Mystery, Thriller",28175,1982-04-02,"John Mackenzie",,
27,tt0071508,2019-12-05,2022-10-22,"Audio Commentary by Paul Morissey, star Udo Kier, and film historian Maurice Yacowar","Flesh for Frankenstein","Flesh for Frankenstein",https://www.imdb.com/title/tt0071508/,Movie,5.8,95,1973,"Horror, Sci-Fi",7415,1974-03-17,"Paul Morrissey, Antonio Margheriti",,
28,tt0071233,2019-12-05,2022-10-22,"Audio Commentary by Paul Morissey, star Udo Kier, and film historian Maurice Yacowar","Blood for Dracula","Sangue per Dracula",https://www.imdb.com/title/tt0071233/,Movie,6.1,106,1974,"Horror",7154,1974-11-06,"Paul Morrissey",,
29,tt0073540,2019-12-05,2022-10-22,"Extended interview with Peter Weir New piece on the making of the film, featuring interviews from 2003 with executive producer Patricia Lovell, producers Hal McElroy and Jim McElroy, and cast members New introduction by film scholar David Thomson, author of The New Biographical Dictionary of Film A Recollection...Hanging Rock 1900 (1975), an on-set documentary hosted by Lovell and featuring interviews with Weir, actor Rachel Roberts and source novel author Joan Lindsay Homesdale (1971), an award-winning black comedy by Weir Trailer","Picnic at Hanging Rock","Picnic at Hanging Rock",https://www.imdb.com/title/tt0073540/,Movie,7.4,115,1975,"Drama, Mystery",43933,1979-02-02,"Peter Weir",,
30,tt0022100,2019-12-05,2022-10-22,"Audio Commentary by German film scholars Anton Kaes, author of the BFI Film Classics volume on M, and Eric Rentschler, author of The Ministry of Illusion: Nazi Cinema and Its Afterlife Conversation with Fritz Lang, a 50 minute film by William Friedkin Claude Chabrol's M le Maudit, a short film inspired by M, plus a video interview with Chabrol about Lang's filmmaking techniques Video interview with Harold Nebenzal, son of M producer Seymour Nebenzal Classroom audiotapes of editor Paul Falkenberg discussing the film and its history, set to clips from the film Documentary on the physical history of M, from production to distribution to digital restoration Galleries of behind-the-scenes photographs and production sketches","M","M - Eine Stadt sucht einen Mörder",https://www.imdb.com/title/tt0022100/,Movie,8.3,99,1931,"Crime, Mystery, Thriller",178379,1931-08-31,"Fritz Lang",,
31,tt0038574,2019-12-05,2020-08-07,"The original theatrical trailer ","Great Expectations","Great Expectations",https://www.imdb.com/title/tt0038574/,Movie,7.8,118,1946,"Adventure, Drama, Mystery, Romance",27626,1947-05-22,"David Lean",,
32,tt0040662,2019-12-05,2020-08-07,"The original theatrical trailer","Oliver Twist","Oliver Twist",https://www.imdb.com/title/tt0040662/,Movie,7.8,105,1948,"Drama",14460,1951-07-30,"David Lean",,
33,tt0013427,2019-12-05,2020-08-07,"Excerpts from the television documentary Flaherty and Film, featuring interviews with the filmmaker's widow and Nanook co-editor Frances Flaherty Stills gallery of Flaherty's photographs of life in the Arctic","Nanook of the North","Nanook of the North",https://www.imdb.com/title/tt0013427/,Movie,7.6,78,1922,"Documentary",14042,1922-06-11,"Robert J. Flaherty",,
