Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0047034,2017-04-10,2017-04-10,,"Godzilla","Gojira",https://www.imdb.com/title/tt0047034/,Movie,7.6,96,1954,"Horror, Sci-Fi",43537,2004-05-07,"Ishirô Honda",,
2,tt0048127,2017-04-10,2017-04-10,,"Godzilla Raids Again","Gojira no gyakushû",https://www.imdb.com/title/tt0048127/,Movie,5.7,78,1955,"Action, Horror, Sci-Fi",9232,1959-05-21,"Motoyoshi Oda, Ishirô Honda",,
3,tt0056142,2017-04-10,2017-04-10,,"King Kong vs. Godzilla","King Kong vs. Godzilla",https://www.imdb.com/title/tt0056142/,Movie,5.7,91,1963,"Action, Adventure, Comedy, Fantasy, Sci-Fi",11730,1963-06-26,"Ishirô Honda, Tom Montgomery",,
4,tt0058379,2017-04-10,2017-04-10,,"Mothra vs. Godzilla","Mosura tai Gojira",https://www.imdb.com/title/tt0058379/,Movie,6.5,89,1964,"Adventure, Fantasy, Sci-Fi",11216,1964-08-26,"Ishirô Honda",,
5,tt0058544,2017-04-10,2017-04-10,,"Ghidorah: The Three-Headed Monster","San Daikaijû Chikyû Saidai no Kessen",https://www.imdb.com/title/tt0058544/,Movie,6.5,85,1964,"Action, Fantasy, Sci-Fi, Thriller",8689,1965-09-13,"Ishirô Honda",,
6,tt0059346,2017-04-10,2017-04-10,,"Invasion of Astro-Monster","Kaijû daisensô",https://www.imdb.com/title/tt0059346/,Movie,6.2,93,1965,"Action, Adventure, Sci-Fi",8178,1970-07-29,"Ishirô Honda",,
7,tt0060464,2017-04-10,2017-04-10,,"Ebirah, Horror of the Deep","Gojira · Ebira · Mosura Nankai no daikettô",https://www.imdb.com/title/tt0060464/,Movie,5.5,83,1966,"Adventure, Fantasy, Sci-Fi",6939,1969,"Jun Fukuda",,
8,tt0061856,2017-04-10,2017-04-10,,"Son of Godzilla","Kaijûtô no kessen: Gojira no musuko",https://www.imdb.com/title/tt0061856/,Movie,5.2,84,1967,"Adventure, Comedy, Fantasy, Sci-Fi",6487,1967-12-16,"Jun Fukuda",,
9,tt0063172,2017-04-10,2017-04-10,,"Destroy All Monsters","Kaijû sôshingeki",https://www.imdb.com/title/tt0063172/,Movie,6.4,88,1968,"Action, Sci-Fi, Thriller",8342,1969-05-28,"Ishirô Honda, Jun Fukuda",,
10,tt0064373,2017-04-10,2017-04-10,,"All Monsters Attack","Gojira Minira Gabara Ôru kaijû daishingeki",https://www.imdb.com/title/tt0064373/,Movie,3.9,70,1969,"Adventure, Family, Fantasy",6002,1971-12-08,"Ishirô Honda, Jun Fukuda, Kengo Furusawa",,
11,tt0067148,2017-04-10,2017-04-10,,"Godzilla vs. Hedorah","Gojira tai Hedora",https://www.imdb.com/title/tt0067148/,Movie,6.1,85,1971,"Animation, Family, Sci-Fi, Thriller",7286,1972-02-10,"Yoshimitsu Banno, Ishirô Honda",,
12,tt0068371,2017-04-10,2017-04-10,,"Godzilla vs. Gigan","Chikyû kôgeki meirei Gojira tai Gaigan",https://www.imdb.com/title/tt0068371/,Movie,5.6,89,1972,"Action, Family, Sci-Fi",6259,1977-08,"Jun Fukuda, Yoshimitsu Banno, Ishirô Honda, Shûe Matsubayashi",,
13,tt0070122,2017-04-10,2017-04-10,,"Godzilla vs. Megalon","Gojira tai Megaro",https://www.imdb.com/title/tt0070122/,Movie,4.9,78,1973,"Action, Adventure, Family, Sci-Fi",7498,1976-04,"Jun Fukuda, Yoshimitsu Banno, Ishirô Honda",,
14,tt0071565,2017-04-10,2017-04-10,,"Godzilla vs. Mechagodzilla","Gojira tai Mekagojira",https://www.imdb.com/title/tt0071565/,Movie,6.2,84,1974,"Action, Family, Fantasy, Sci-Fi",8574,1977-03,"Jun Fukuda",,
15,tt0073373,2017-04-10,2017-04-10,,"Terror of Mechagodzilla","Mekagojira no gyakushû",https://www.imdb.com/title/tt0073373/,Movie,6.1,79,1975,"Action, Adventure, Family, Fantasy, Sci-Fi",6276,1978-03,"Ishirô Honda, Jun Fukuda",,
16,tt0087344,2017-04-10,2017-04-10,,"Godzilla 1985","Godzilla 1985",https://www.imdb.com/title/tt0087344/,Movie,6.1,87,1985,"Action, Drama, Sci-Fi",7160,1985-08-23,"Kôji Hashimoto, R.J. Kizer, Ishirô Honda, Toshio Masuda, Shûe Matsubayashi, Shirô Moritani",,
17,tt0097444,2017-04-10,2017-04-10,,"Godzilla vs. Biollante","Gojira vs. Biorante",https://www.imdb.com/title/tt0097444/,Movie,6.5,104,1989,"Action, Drama, Fantasy, Horror, Sci-Fi, Thriller",7796,1989-12-16,"Kazuki Ômori, Kôji Hashimoto, Kenjirô Ohmori",,
18,tt0101962,2017-04-10,2017-04-10,,"Godzilla vs. King Ghidorah","Gojira vs. Kingu Gidorâ",https://www.imdb.com/title/tt0101962/,Movie,6.5,100,1991,"Action, Adventure, Drama, Sci-Fi, Thriller",7843,1991-12-14,"Kazuki Ômori, Kôji Hashimoto",,
19,tt0104352,2017-04-10,2017-04-10,,"Godzilla and Mothra: The Battle for Earth","Gojira vs. Mosura",https://www.imdb.com/title/tt0104352/,Movie,6.1,100,1992,"Adventure, Fantasy, Sci-Fi",6017,1992-12-12,"Takao Okawara",,
20,tt0107027,2017-04-10,2017-04-10,,"Godzilla vs. Mechagodzilla II","Gojira vs. Mekagojira",https://www.imdb.com/title/tt0107027/,Movie,6.5,105,1993,"Action, Adventure, Drama, Sci-Fi",6403,1993-12-11,"Takao Okawara, Kazuki Ômori",,
21,tt0109916,2017-04-10,2017-04-10,,"Godzilla vs. SpaceGodzilla","Gojira vs. Supesugojira",https://www.imdb.com/title/tt0109916/,Movie,5.8,106,1994,"Action, Adventure, Sci-Fi",6145,1994-12-10,"Kenshô Yamashita, Takao Okawara, Kazuki Ômori",,
22,tt0113187,2017-04-10,2017-04-10,,"Godzilla vs. Destoroyah","Gojira vs. Desutoroiâ",https://www.imdb.com/title/tt0113187/,Movie,6.9,103,1995,"Action, Drama, Horror, Sci-Fi",8166,1995-12-09,"Takao Okawara, Ishirô Honda, Kôji Hashimoto, Shûe Matsubayashi, Kenshô Yamashita, Kazuki Ômori",,
23,tt0120685,2017-04-10,2017-04-10,,"Godzilla","Godzilla",https://www.imdb.com/title/tt0120685/,Movie,5.5,139,1998,"Action, Sci-Fi, Thriller",209576,1998-05-20,"Roland Emmerich",,
24,tt0188640,2017-04-10,2017-04-10,,"Godzilla 2000","Gojira ni-sen mireniamu",https://www.imdb.com/title/tt0188640/,Movie,6.0,99,1999,"Action, Adventure, Drama, Sci-Fi, Thriller",9976,2000-08-18,"Takao Okawara",,
25,tt0255198,2017-04-10,2017-04-10,,"Godzilla vs. Megaguirus","Gojira tai Megagirasu: Jî shômetsu sakusen",https://www.imdb.com/title/tt0255198/,Movie,6.0,105,2000,"Action, Sci-Fi, Thriller",5075,2000-12-16,"Masaaki Tezuka, Ishirô Honda",,
26,tt0279112,2017-04-10,2017-04-10,,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","Gojira Mosura Kingu Gidora Daikaijû sôkôgeki",https://www.imdb.com/title/tt0279112/,Movie,7.0,105,2001,"Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",7682,2001-12-15,"Shûsuke Kaneko",,
27,tt0314111,2017-04-10,2017-04-10,,"Godzilla Against Mechagodzilla","Gojira × Mekagojira",https://www.imdb.com/title/tt0314111/,Movie,6.6,88,2002,"Action, Sci-Fi, Thriller",5978,2002-12-14,"Masaaki Tezuka, Kazuki Ômori",,
28,tt0366526,2017-04-10,2017-04-10,,"Godzilla: Tokyo S.O.S.","Gojira tai Mosura tai Mekagojira: Tôkyô S.O.S.",https://www.imdb.com/title/tt0366526/,Movie,6.4,91,2003,"Action, Adventure, Fantasy, Sci-Fi, Thriller",5578,2003-12-13,"Masaaki Tezuka, Kôji Hashimoto, Takao Okawara, Kazuki Ômori",,
29,tt0399102,2017-04-10,2017-04-10,,"Godzilla: Final Wars","Godzilla: Final Wars",https://www.imdb.com/title/tt0399102/,Movie,6.3,125,2004,"Action, Adventure, Fantasy, Sci-Fi, Thriller",10371,2004-12-04,"Ryûhei Kitamura, Kôji Hashimoto, Shûsuke Kaneko, Toshio Masuda, Takao Okawara, Masaaki Tezuka, Kenshô Yamashita, Kazuki Ômori",,
30,tt0831387,2017-04-10,2017-04-10,,"Godzilla","Godzilla",https://www.imdb.com/title/tt0831387/,Movie,6.4,123,2014,"Action, Adventure, Sci-Fi, Thriller",456165,2014-05-16,"Gareth Edwards",,
31,tt4262980,2017-04-10,2017-04-10,,"Shin Godzilla","Shin Gojira",https://www.imdb.com/title/tt4262980/,Movie,6.8,120,2016,"Action, Drama, Horror, Sci-Fi",41422,2025-08-14,"Shinji Higuchi, Hideaki Anno",,
32,tt5979874,2017-04-10,2017-04-10,,"Godzilla: Planet of the Monsters","Gojira: Kaijû Wakusei",https://www.imdb.com/title/tt5979874/,Movie,6.0,89,2017,"Animation, Action, Sci-Fi",10103,2018-01-17,"Hiroyuki Seshita, Kôbun Shizuno",,
33,tt8015080,2020-04-20,2020-04-20,,"Godzilla: City on the Edge of Battle","Gojira: kessen kidô zôshoku toshi",https://www.imdb.com/title/tt8015080/,Movie,5.8,101,2018,"Animation, Action, Sci-Fi",6009,2018-07-18,"Hiroyuki Seshita, Kôbun Shizuno",,
34,tt8478602,2020-04-20,2020-04-20,,"Godzilla: The Planet Eater","Gojira: hoshi wo kû mono",https://www.imdb.com/title/tt8478602/,Movie,5.1,91,2018,"Animation, Action, Adventure, Sci-Fi",5339,2019-01-09,"Hiroyuki Seshita, Kôbun Shizuno",,
35,tt3741700,2020-04-20,2020-04-20,,"Godzilla: King of the Monsters","Godzilla: King of the Monsters",https://www.imdb.com/title/tt3741700/,Movie,6.0,132,2019,"Action, Adventure, Fantasy, Sci-Fi",221531,2019-05-31,"Michael Dougherty",,
36,tt5034838,2020-04-20,2020-04-20,,"Godzilla vs. Kong","Godzilla vs. Kong",https://www.imdb.com/title/tt5034838/,Movie,6.3,113,2021,"Action, Sci-Fi, Thriller",259031,2021-03-31,"Adam Wingard",,
37,tt23289160,2023-09-17,2023-09-17,,"Godzilla Minus One","Gojira -1.0",https://www.imdb.com/title/tt23289160/,Movie,7.7,124,2023,"Action, Adventure, Drama, Horror, Sci-Fi",174811,2023-12-01,"Takashi Yamazaki",,
