Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0007522,2017-10-04,2017-10-04,"There's a very good review here which sums up the many reasons why this can count as the first gay-themed film ever, but you'll be hard pressed to find the subtext from what remains. Dreyer's Michael, based on the same source, is much more ambivalent.","Vingarne","Vingarne",https://www.imdb.com/title/tt0007522/,Movie,5.7,69,1916,"Drama",215,1917-01-29,"Mauritz Stiller",,
2,tt0009878,2013-08-15,2013-08-26,"First ever gay-themed film starring Conrad Veidt (of 'Cabinet of Dr. Caligari' and 'Casablanca' fame). Conceived by sexologist Magnus Hirschfeld to push for legalization, it led to the reintroduction of film censorship in post-WWI Germany.","Different from the Others","Anders als die Andern",https://www.imdb.com/title/tt0009878/,Movie,7.0,50,1919,"Crime, Drama, History, Romance",1634,1919-05-28,"Richard Oswald",,
3,tt0013571,2016-10-18,2016-10-18,"Was infamously filmed with an all-gay cast, even though that is a matter of contention. Quite obviously very camp, with a number of performers in drag.","Salomé","Salomé",https://www.imdb.com/title/tt0013571/,Movie,6.6,72,1922,"Biography, Drama, History, Horror",1310,1923-02-15,"Charles Bryant, Alla Nazimova",,
4,tt0015136,2013-08-15,2013-08-26,"Carl Theodor Dreyer's adaptation of gay writer Herman Bang's novel could be regarded as the first gay-themed narrative film. Contributed to harsher censorship laws banning the subject for decades.","Michael","Michael",https://www.imdb.com/title/tt0015136/,Movie,7.1,93,1924,"Drama, Romance",2174,1924-11-17,"Carl Theodor Dreyer",,
5,tt0018935,2014-04-29,2014-06-19,"first film about gender confusion in jail considers homosexuality an affliction and could thereby pass strengthened censorship laws","Sex in Chains","Geschlecht in Fesseln",https://www.imdb.com/title/tt0018935/,Movie,6.5,107,1928,"Drama",335,1932,"William Dieterle",,
6,tt0022183,2014-04-29,2014-06-19,"first film to touch female homosexuality in a surprisingly overt way and allowing for genuine emotions; could pass German censorship laws because only male homosexuality was penalized. The remake of 1958 is more famous but also more ambivalent.","Mädchen in Uniform","Mädchen in Uniform",https://www.imdb.com/title/tt0022183/,Movie,7.5,87,1931,"Drama, Romance",4118,1931-11-27,"Leontine Sagan, Carl Froelich",,
7,tt0022737,2017-07-21,2017-07-21,"There is a brief scene of what would be the first gay bar in film in this pre-code melodrama.  You can find it on Youtube and don't have to watch the whole thing, as there's no connection to the plot.","Call Her Savage","Call Her Savage",https://www.imdb.com/title/tt0022737/,Movie,7.0,88,1932,"Drama",1164,1932-11-27,"John Francis Dillon",,
8,tt0122158,2014-06-19,2016-10-18,"released on DVD with 'Salomé' (1923), 'Lot in Sodom' has clear gay subtext, although it is essentially an experimental retelling quite faithful to the Biblical story.","Lot in Sodom","Lot in Sodom",https://www.imdb.com/title/tt0122158/,Short,6.5,28,1933,"Short, Drama",739,1933-12-25,"James Sibley Watson, Melville Webber",,
9,tt0037008,2013-08-15,2016-10-18,"with the production code, gay subtext vanished, but many '40s crime films feature presumably homosexual villains, few as obvious as Clifton Webb's Waldo Lydecker, who unlike others isn't portrayed in a defamatory way.","Laura","Laura",https://www.imdb.com/title/tt0037008/,Movie,7.9,88,1944,"Drama, Film-Noir, Mystery",54103,1944-11,"Otto Preminger, Rouben Mamoulian",,
10,tt0039383,2013-08-15,2013-08-15,"homoerotic experimental no-budget film led to Kenneth Anger's arrest on obscenity charges and, eventually, a Supreme Court ruling declaring the film to be art.","Fireworks","Fireworks",https://www.imdb.com/title/tt0039383/,Short,7.0,20,1947,"Short, Drama, Horror",3047,1969-10-10,"Kenneth Anger",,
11,tt0041998,2014-04-29,2014-06-19,"Bergman often touched female homosexuality, but rarely as overtly as in this early piece.","Thirst","Törst",https://www.imdb.com/title/tt0041998/,Movie,6.5,83,1949,"Drama",3042,1961-07-11,"Ingmar Bergman",,
12,tt0042296,2017-10-10,2017-10-10,"It's a difficult choice to include the first and campiest women in prison flick as it's chock full of Lesbian stereotypes and equals homosexuality with depravity. Still, it is part of history, and after re-watching it after a number of years, I think anyone with an interest in queer film should watch it for an individual opinion.","Caged","Caged",https://www.imdb.com/title/tt0042296/,Movie,7.6,97,1950,"Crime, Drama, Film-Noir",5259,1950-06-10,"John Cromwell",,
13,tt0043084,2013-08-15,2016-10-18,"Jean Genet's only film is the first explicitly homoerotic and was consequently banned from exhibition, most notably in the US in 1966, where it was dismissed as obscene.","Song of Love","Un chant d'amour",https://www.imdb.com/title/tt0043084/,Short,7.5,26,1950,"Short, Drama, Fantasy, Romance",3907,1950,"Jean Genet",,
14,tt0042803,2014-06-19,2014-06-19,"similar to 'Girls in Uniform', but involving more mystery","Olivia","Olivia",https://www.imdb.com/title/tt0042803/,Movie,6.9,88,1951,"Comedy, Drama",923,1951-04-27,"Jacqueline Audry",,
15,tt0046521,2014-06-19,2014-06-19,"While this film is famous for a lot of reasons, it also features the first obvious homosexual hook-up attempt.","I Vitelloni","I vitelloni",https://www.imdb.com/title/tt0046521/,Movie,7.8,104,1953,"Comedy, Drama",22309,1956-11-07,"Federico Fellini",,
