"Position","Const","Created","Modified","Description","Title","Original.Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors","Your.Rating","Date.Rated"
1,"tt3260524","2020-05-29","2020-05-29","Available to stream on Netflix","A Secret Love","A Secret Love","https://www.imdb.com/title/tt3260524/","Movie","7.8","81","2020","Documentary, Biography, Drama, Romance","5121","2020-04-29","Chris Bolan","",""
2,"tt1315981","2020-05-29","2020-05-29","Available to stream on Netflix","A Single Man","A Single Man","https://www.imdb.com/title/tt1315981/","Movie","7.5","99","2009","Drama, Romance, Thriller","120608","2010-02-05","Tom Ford","",""
3,"tt5688996","2020-05-29","2020-05-29","Available to stream on Netflix","Alex Strangelove","Alex Strangelove","https://www.imdb.com/title/tt5688996/","Movie","6.3","99","2018","Comedy, Drama, Romance","20180","2018-06-08","Craig Johnson","",""
4,"tt3212408","2020-05-29","2020-05-29","Available to stream on Prime Video","Beautiful Something","Beautiful Something","https://www.imdb.com/title/tt3212408/","Movie","6.4","97","2015","Drama, Romance","1298","2016-05-06","Joseph Graham","",""
5,"tt3704352","2020-05-29","2020-05-29","Available to stream on Prime Video","Bessie","Bessie","https://www.imdb.com/title/tt3704352/","TV Movie","6.7","115","2015","Biography, Drama, Music","4980","2015-05-16","Dee Rees","",""
6,"tt4370596","2020-05-29","2020-05-29","Available to stream on Hulu","Better Things","Better Things","https://www.imdb.com/title/tt4370596/","TV Series","7.9","22","2016","Comedy, Drama","19516","2016-09-08","","",""
7,"tt2278871","2020-05-29","2020-05-29","Available to stream on Netflix","Blue Is the Warmest Colour","La vie d'Adèle","https://www.imdb.com/title/tt2278871/","Movie","7.7","180","2013","Drama, Romance","169701","2013-10-09","Abdellatif Kechiche","",""
8,"tt1727824","2020-05-29","2020-05-29","Available to stream on HBO","Bohemian Rhapsody","Bohemian Rhapsody","https://www.imdb.com/title/tt1727824/","Movie","7.9","134","2018","Biography, Drama, Music","626308","2018-11-02","Bryan Singer","",""
9,"tt1489887","2020-05-29","2020-05-29","Available to stream on Hulu","Booksmart","Booksmart","https://www.imdb.com/title/tt1489887/","Movie","7.1","102","2019","Comedy","137575","2019-05-24","Olivia Wilde","",""
10,"tt2296697","2020-05-29","2020-05-29","Available to stream on Netflix","Concussion","Concussion","https://www.imdb.com/title/tt2296697/","Movie","5.6","96","2013","Drama","5970","2013-12-05","Stacie Passon","",""
